Numero,Nom du voilier,Classe,Année de construction,Photo du voilier,Nom du skipper,Age du skipper,Originaire,Nom du skipper,Age du skipper,Originaire,, 
21,EKINOX,Class40,2025,https://media.ouest-france.fr/v1/pictures/MjAyNTEwNWYyNTQ0MDhlNGM4ZWYxZjQyZjhhNzZhM2FjYjdiODU?width=375&focuspoint=50%2C25&cropresize=1&client_id=bpeditorial&sign=499ba4fa1a99e1561b714f62b4a42b5c2cd3f1524d77937b14dd244e4deab2f7,Benoît SINEAU,54,Argenteuil,Alberto RIVA,33,Milan,Achille,
22,ENGIE - DESSINE-MOI LA HIGH-TECH,Class40,2022,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-06/cap_pour_elles_avec_engie.jpg.webp?itok=VO6lvHxu,Aina BAUZA ROIG,30,Palma de Mallorca,Axelle PILLAIN,35,Saint-Renan,Achille,
23,ESATCO,Class40,2014,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-09/ESATCO%20-%20Class40.jpeg.webp?itok=m_bFqoGQ,Nicolas GUIBAL,42,Nantes,Gauthier BRIL,24,Corée du Sud,Achille,
24,FDJ UNITED - WEWISE,Imoca,2007,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-07/FDJ%20UNITED%20-%20WEWISE%20-%20Imoca.png.webp?itok=GaBX3SCf,Fabrice AMEDEO,47,VANNES,Andreas BADEN,Non réferencé,Kiel - Allemagne,Achille,
25,FIVES GROUP - LANTANA ENVIRONNEMENT,Imoca,2006,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-06/five_group_lantana_environnement.jpg.webp?itok=tH8N8K7o,Louis DUC,42,Cherbourg,Masa SUZUKI,40,Chiba,Nathanael GD,
26,FORTINET - BEST WESTERN,Imoca,2015,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-08/FORTINET-BEST%20WESTERN-Imoca.jpg.webp?itok=E7G1vQV2,Romain ATTANASIO,48,Paris,Maxime SOREL,41,Cancale,Nathanael GD,
27,INFLUENCE2,Class40,2023,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-07/INFLUENCE2-Class40.jpg.webp?itok=VJ2QHLkG,Andrea FORNARO,48,Rome,Alessandro TORRESANI,27,Rome,Nathanael GD,
28,INITIATIVES COEUR,Imoca,2021,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-07/INITIATIVES%20COEUR-IMOCA.jpg.webp?itok=CVQDdA2K,Sam DAVIES,51,Lorlent,Violette DORANGE,24,Pont l'Abbé D'arnoult,Nathanael GD,
29,INLAND ROOTS OCEAN SOUL,Class40,2021,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-06/inland_roots_ocean_soul.jpg.webp?itok=YokotH2W,Milan KOLACEK,46,Louny,Pierre BRASSEUR,45,Amiens,Dylan,
30,INNOVAD.GROUP - XLG,Class40,2011,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-07/INNOVAD.GROUP%20-%20XLG%20-%20Class40.jpg.webp?itok=QNNnhSc4,Jérôme DELIRE,40,Anderlecht,Caroline DIEU,38,Uccle,Dylan,
31,INTER INVEST,Ocean Fifty,2023,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-09/INTER%20INVEST%20%20-%20OCEAN%20FIFTY.jpg.webp?itok=vp5doKgS,Matthieu PERRAUT,35,Pornichet,Jean-Baptiste GELLEE,32,Pornichet,Dylan,
32,INTERACTION,Class40,2020,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-06/interaction.jpg.webp?itok=P3vGyCpn,Yannig LIVORY,59,Arcachon,Erwan LIVORY,56,Arcachon,Dylan,
33,KOESIO,Ocean Fifty,2023,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-07/KOESIO%20-%20Ocean%20Fifty.jpg.webp?itok=HyIGFE15,Erwan LE ROUX,51,La Trinité sur Mer,Audrey OGEREAU,33,La Ciotat,Jihan ,
34,L'AGENCE TELECOM - SOTRAPLANT,Class40,2018,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-06/l_agence_telecom_-_sotraplant.png.webp?itok=TpV_hm5B,Matthieu FOULQUIER-GAZAGNES,51,Montpellier,Gildas BEAUCHAMPS,34,Nice ,Jihan,
35,Lazare x Hellio,Ocean Fifty,2023,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-07/lazare.jpg.webp?itok=uLH5UkxL,Erwan LE DRAOULEC,28,Plouhinec,Tanguy LE TURQUAIS,36,Locmiquelic,Jihan ,
36,LE RIRE MÉDECIN - LAMOTTE,Ocean Fifty,2009,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-08/LE%20RIRE%20MEDECIN%20-%20LAMOTTE%20-%20Ocean%20Fifty%202.png.webp?itok=DT3puNTP,Luke BERRY,39,Saint Malo,Antoine JOUBERT,38,Tours ,Jihan ,
37,LEGALLAIS,Class40,2023,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-06/legallais.jpg.webp?itok=PZpSr1YI,Fabien DELAHAYE,41,Larmor Plage,Pierre LEBOUCHER,44,Nantes,Nicolas,
